Tensp,giatu,giaden,daban,diadiem,Column6,Column7,gia goc,giam,link
Mặt nạ giấy dưỡng da Hàn Quốc innisfree My Real Squeeze Mask 22ml,27000,23000,Đã bán 219k,TP. Hồ Chí Minh,,,,,https://down-vn.img.susercontent.com/file/3618317c063f736f9b0f28a78da31d6b_tn
"Mặt nạ nội địa trung cao cấp các loại, giúp cấp ẩm, trắng da, kiềm dầu, se khít lỗ chân lông",2000,1000,Đã bán 46k,TP. Hồ Chí Minh,Mua để nhận quà,,,,https://down-vn.img.susercontent.com/file/vn-11134207-7qukw-lijykai6gyks5f_tn
"Serum The Ordinary Niacinamide 10% + Zinc 1% 30ml, giảm mụn giảm thâm, se khít lỗ chân lông",-,169000,"Đã bán 25,8k",TP. Hồ Chí Minh,,₫,335000,,https://down-vn.img.susercontent.com/file/vn-11134201-7r98o-lmxb3nzk9l277b_tn
Tẩy da chết mặt cà phê Đắk Lắk Cocoon cho làn da mềm mại & rạng rỡ 150ml,,165000,"Đã bán 100,6k",TP. Hồ Chí Minh,,,,Giảm ₫20k,https://down-vn.img.susercontent.com/file/vn-11134207-7r98o-ls2qz9dvupqcd8_tn
Combo 10 Mặt Nạ Giấy BIOAQUA Trái Cây Dưỡng Da Trắng Sáng Cấp Ẩm Nước Giảm Mụn Mask Hoa Quả CHARM BEAUTY,-,14900,"Đã bán 5,8k",TP. Hồ Chí Minh,,₫,19500,,https://down-vn.img.susercontent.com/file/vn-11134207-7qukw-li71ukbrsfde94_tn
Mặt nạ giấy dưỡng trắng da mụn cấp ẩm thải độc HA Images - mn02,-,1000,"Đã bán 1,5tr",Hà Nội,Mua để nhận quà,₫,3500,,https://down-vn.img.susercontent.com/file/65b1372939e569e7d34a4dd2546b0f65_tn
"Gel Tẩy Da Chết, Tẩy Tế Bào Chết Mặt chiết xuất Nha Đam làm sạch sâu da sạch mịn tươi sáng",36000,18000,"Đã bán 2,6k",Nước ngoài,,,,3% Giảm,https://down-vn.img.susercontent.com/file/d8dea2a2d41c66d64101a8aeaca73cdb_tn
Mặt nạ đất sét BEPLAIN X LeoJ 120ml từ đậu xanh se khít lỗ chân lông giảm mụn đầu đen,590000,345000,"Đã bán 28,9k",Hàn Quốc,,,,15% Giảm,https://down-vn.img.susercontent.com/file/vn-11134207-7r98o-ls3nfiyrek78a3_tn
[BANOBAGI] Combo 10 Mặt Nạ Bổ Sung Vitamin Vita Genic BANOBAGI (30ml x 10),250000,135000,"Đã bán 7,9k",TP. Hồ Chí Minh,Mua Kèm Deal Sốc,,,,https://down-vn.img.susercontent.com/file/vn-11134207-7r98o-lrx5kgl1md387d_tn
Mặt Nạ Bổ Sung Vitamin Cho Da BANOBAGI Vita Mask 30g,-,13500,"Đã bán 53,4k",TP. Hồ Chí Minh,Mua Kèm Deal Sốc,₫,14500,,https://down-vn.img.susercontent.com/file/vn-11134207-7r98o-lqy60dbyukec9a_tn
